BLADE_TYPE,COMMENTS,FACING_CD,FLD_SRC_TXT,INSTDATE,MATERIAL,PL_TY,REUSE,SGN_COUNT_NO,SGN_STA_CD,SIGN_TXT,STA_CD,SIZE_CD,SUPPORTTYPE,UNITID,TE_SIGNLOCATION_UNITID,POINT,Ward Boundaries,City Quadrants,Calgary Communities,Ward Boundaries 2013-2017
Regulatory,,N,,7/1/2007,,,,1,A,,A,60X75,,1109184350,1109082667,POINT (-114.210957448601 51.0685668243),1,1,128,14
Parking Restrictions,,W,GPS,8/18/2016,High Intensity,SG_40-06,,0,R,,R,30X30,Signpole,1110021183,1110021182,POINT (-113.935804152861 50.911165903496),4,3,96,8
Timed Parking,,NE,Field Estimate,,,SG_40-05,,4,A,"3HR, 0900-1800, SAT, AL",R,SPECIAL,Signpole,1110202095,1109526373,POINT (-114.05423120852 51.042027593481),14,3,260,5
Timed Parking,,NE,Field Estimate,1/16/2019,High Intensity,SG_40-05,,4,A,"3 HR, 0900-1800, M-F, PAY REQD, AR",A,SPECIAL,Signpole,1110202040,1109286994,POINT (-114.053597489366 51.04135079758),14,3,260,5
Warning,,W,Field Estimate,9/12/2018,High Intensity,SG_40-57,,0,A,DELINEATOR,A,,Signpole,1110271357,1110172249,POINT (-113.935926247512 50.911341384981),4,3,96,8
Regulatory,,W,Field Estimate,10/23/2019,High Intensity,SG_40-27,,1,T,CROSSWALK CLOSED NEW SIGNAL IN 2020 (45x60),A,SPECIAL,Signpole,1110245466,1110245465,POINT (-114.081921812928 51.038248597801),14,1,260,2
Park Plus,,NE,Field Estimate,1/16/2019,High Intensity,SG_40-05,,4,A,"4HR, 0900-1800, SAT, AR",A,SPECIAL,Signpole,1110223125,1109526369,POINT (-114.054521552678 51.042063178225),14,3,260,5
Timed Parking,,NW,Field Estimate,1/16/2019,High Intensity,,,4,A,"2HR, 0900-1800, SAT, AR",A,SPECIAL,Signpole,1110201999,1109037641,POINT (-114.055327724543 51.043027506964),14,3,260,5
Pedestrian,,NE,Field Estimate,9/12/2018,High Intensity,SG_40-05,,2,A,PED SLEEVE,A,SPECIAL,Signpole,1110172219,1110172192,POINT (-113.937467313376 50.910699042335),4,3,96,8
Parking Restrictions,,NW,Field Estimate,7/14/2009,High Intensity,SG_40-05,,4,A,NSAT + TOW AWAY AR,A,30X45,Signpole,1109536778,1109037640,POINT (-114.055654536932 51.043032877791),14,3,260,5
Park Plus,,NE,Field Estimate,7/21/2016,High Intensity,SG_40-05,,4,A,3HR 0900-1800 M-SAT AL PAY REQ,R,30X45,Signpole,1110014137,1110014134,POINT (-114.055532682212 51.042082859862),14,3,260,5
Street Name,,E/W,GPS,1/7/2010,High Intensity,SG_40-05,,4,A,RIVERFRONT AVE,A,15XL,Signpole,1109589853,1109588991,POINT (-114.050685051172 51.047205670797),7,3,65,7
Yield,,SW,,9/15/2014,Diamond Grade,SG_40-05,,0,R,,R,60X60,Signpole,1109804264,1109804263,POINT (-114.094374668366 50.97932823916),8,1,195,5
Timed Parking,,SE,Field Estimate,,,SG_40-05,,4,A,"3HR, 0900-1800, SAT, AR",R,SPECIAL,Signpole,1110202060,1109037814,POINT (-114.055503716401 51.042220227826),14,3,260,5
Park Plus,,SE,Field Estimate,1/16/2019,High Intensity,SG_40-05,,4,A,"4HR, 0900-1800, M-F, PAY REQD, AR",A,SPECIAL,Signpole,1110223142,1109037814,POINT (-114.055503716401 51.042220227826),14,3,260,5
Timed Parking,,NE,Field Estimate,,,SG_40-05,,4,A,"3HR, 0900-1800, M-F. PAY REQD, AL",R,SPECIAL,Signpole,1110202075,1110014134,POINT (-114.055532682212 51.042082859862),14,3,260,5
Parking Restrictions,,NE,Field Estimate,7/3/2009,High Intensity,SG_40-05,,4,A,,A,30X45,Signpole,1109526389,1109526387,POINT (-114.053814119709 51.042038924552),14,3,260,5
Park Plus,,NE,Field Estimate,7/12/2019,,SG_40-05,,5,A,"4HR, 0900-1800, SAT, AL",A,SPECIAL,Signpole,1110223127,1109526365,POINT (-114.05482783026 51.042066551734),14,3,260,5
Stop,,E,Field Estimate,12/5/2018,Diamond Grade,SG_40-05,,2,A,,A,60X60,Signpole,1110196145,1109588978,POINT (-114.050415908751 51.047132018374),7,3,65,7
Parking Restrictions,,NE,Field Estimate,9/26/2018,High Intensity,SG_40-05,,4,A,,A,30X60,Signpole,1110175186,1109702340,POINT (-114.061315957096 51.047317788092),7,3,262,7
Park Plus,,NE,Field Estimate,1/16/2019,High Intensity,SG_40-05,,4,A,"4HR 0900-1800 M-F, AR PAY REQ",A,SPECIAL,Signpole,1110223128,1110014130,POINT (-114.055113007297 51.042076844805),14,3,260,5
Street Name,,W,GPS,7/2/1989,Engineer Grade,SG_40-12,,1,A,,A,SPECIAL,Signpole,1109223605,1109040794,POINT (-114.069987900292 51.032374137808),14,1,297,5
Pedestrian,,W,Field Estimate,3/19/2019,High Intensity,SG_40-06,,1,A,,A,60X75,Signpole,1110193020,1110193019,POINT (-114.085435996688 50.924298483849),5,1,32,6
Street Name,,SE,,7/1/2004,High Intensity,,,2,A,,A,53XL,,1109132543,1109036000,POINT (-114.119424453768 50.93591119102),5,1,43,6
Snow Route,,NE,Field Estimate,11/1/2011,High Intensity,SG_40-05,,5,A,NS Snow Route 2100-0600,A,SPECIAL,Signpole,1109700972,1109526365,POINT (-114.05482783026 51.042066551734),14,3,260,5
Regulatory,,W,,7/1/2002,High Intensity,,,2,A,DUAL LEFT TURN,A,90X90,,1109156550,1109093296,POINT (-114.094938958831 50.961546807796),8,1,7,5
Timed Parking,,SW,Field Estimate,,,SG_40-05,,4,A,"3HR, 0900-1800, M-F, PAY REQD, AL",R,SPECIAL,Signpole,1110202028,1110003727,POINT (-114.055793685574 51.041751852058),14,3,260,5
Parking Restrictions,,NE,Field Estimate,7/3/2009,High Intensity,SG_40-05,,5,A,"3 HR, 0900-1800, M-SAT, PAY REQD, AL",R,,Signpole,1109526367,1109526365,POINT (-114.05482783026 51.042066551734),14,3,260,5
Timed Parking,,NE,Field Estimate,1/16/2019,High Intensity,SG_40-05,,4,A,"9HR, 0900-1800, M-F, PAY REQD, AL",A,SPECIAL,Signpole,1110202042,1110155340,POINT (-114.048439284793 51.041591086715),14,3,260,5
Parking Restrictions,,NW,Field Estimate,12/13/2018,High Intensity,SG_40-06,,1,A,,A,30X30,Signpole,1110191177,1110191174,POINT (-114.023368643928 50.860787737399),6,3,99,13
Parking Restrictions,,NE,Field Estimate,3/4/2019,High Intensity,SG_40-05,,1,A,"NSAT, DA + TOW AWAY",A,30X45,Signpole,1110209238,1110209232,POINT (-114.081914100028 51.038266969256),14,1,260,2
Timed Parking,,SW,Field Estimate,,,SG_40-05,,4,A,"3HR, 0900-1800, SAT, AL",R,SPECIAL,Signpole,1110202029,1110003727,POINT (-114.055793685574 51.041751852058),14,3,260,5
Stop,,W,,7/1/2004,High Intensity,SG_40-06,,0,R,,R,60X6,Signpole,1109122389,1109060909,POINT (-114.109678007362 51.023129992642),8,1,200,2
Regulatory,,NW,GPS,4/25/2019,High Intensity,,,2,A,"LEFT TURN PROHIBITED, EXEPT CT",A,75X75,Trunk,1110217898,1109632316,POINT (-113.998234346184 50.952687913742),4,3,162,8
Parking Restrictions,,N,Field Estimate,1/6/2020,High Intensity,SG_40-06,,1,A,NPAT AL,A,30X30,Signpole,1110250523,1110250522,POINT (-114.168234278752 51.050451137146),1,1,67,14
Guide / Information,,SE,,7/1/2004,High Intensity,,,2,A,,A,60X90,,1109180776,1109036000,POINT (-114.119424453768 50.93591119102),5,1,43,6
Timed Parking,,SE,Field Estimate,,,SG_40-05,,4,A,"3HR, 0900-1800, M-F, PAY REQD, AR",R,SPECIAL,Signpole,1110202059,1109037814,POINT (-114.055503716401 51.042220227826),14,3,260,5
Street Name,,E/W,Field Estimate,3/19/2019,High Intensity,,,2,A,SHAWNEE GREEN,A,15XL,Streetlightstandard,1110193111,1110193080,POINT (-114.085697314629 50.924242777803),5,1,32,6
Timed Parking,,SW,Field Estimate,,,SG_40-05,,4,A,"3HR, 0900-1800, M-F, PAY REQD, AR",R,SPECIAL,Signpole,1110202030,1110004076,POINT (-114.055804798368 51.041611955632),14,3,260,5
Parking Restrictions,,NE,,,,SG_40-06,,0,R,,R,30X30,Signpole,1110209666,1110209665,POINT (-114.013311266874 50.863487937036),6,3,135,13
Timed Parking,,NE,Field Estimate,1/17/2019,High Intensity,SG_40-12,,4,A,"3 HR, 0900-1800, M-F, PAY REQD, AL",A,SPECIAL,Signpole,1110202034,1109286986,POINT (-114.053560201853 51.041868885223),14,3,260,5
Stop,,N,GPS,12/5/2018,Diamond Grade,SG_40-05,,4,A,4-WAY,A,40X25,Signpole,1110196152,1109588991,POINT (-114.050685051172 51.047205670797),7,3,65,7
Park Plus,,NE,Field Estimate,1/16/2019,High Intensity,SG_40-05,,4,A,"4HR, 0900-1800, SAT, AL",A,SPECIAL,Signpole,1110223123,1109526373,POINT (-114.05423120852 51.042027593481),14,3,260,5
Timed Parking,,NW,GPS,3/26/2010,High Intensity,,,1,A,4HR DA 0900-1800 MON-FRI,R,SPECIAL,Streetlightstandard,1109597752,1109597751,POINT (-114.214280914094 51.015109353986),1,1,165,14
Pedestrian,,,GPS,8/18/2016,Diamond Grade,SG_40-06,,0,R,PED SLEEVE,R,SPECIAL,Signpole,1110021185,1110021182,POINT (-113.935804152861 50.911165903496),4,3,96,8
Regulatory,,NE,Field Estimate,1/6/2020,High Intensity,SG_40-05,,2,A,,A,60X75,Signpole,1110250385,1110250383,POINT (-114.168090059661 51.050528593405),1,1,67,14
Street Name,,E/W,Field Estimate,3/19/2019,High Intensity,SG_40-08,,2,A,SHAWNEE HEATH,A,15XL,Signpole,1110193109,1110193085,POINT (-114.085709819122 50.924600630422),5,1,32,6
Regulatory,,E,,7/1/2005,High Intensity,,,3,A,,A,90X90,,1109154037,1109061847,POINT (-114.133565361905 51.08978465512),7,2,50,4
Parking Restrictions,,NE,Field Estimate,7/3/2009,High Intensity,SG_40-05,,4,A,"3 HR, 0900-1800, M-SAT, PAY REQD, AR",R,,Signpole,1109526411,1109286994,POINT (-114.053597489366 51.04135079758),14,3,260,5
Park Plus,,NW,Field Estimate,7/14/2009,Engineer Grade,,,4,A,"24"" ZONE 3192 AR (BLUE) 3193 AL (D.GREY)",A,SPECIAL,Signpole,1109536782,1109037641,POINT (-114.055327724543 51.043027506964),14,3,260,5
Timed Parking,,NE,Field Estimate,1/16/2019,High Intensity,SG_40-05,,4,A,"9HR, 0900-1800, M-F, PAY REQD, AR",A,SPECIAL,Signpole,1110202875,1110202120,POINT (-114.048475664899 51.04174221071),14,3,260,5
Regulatory,,SE,GPS,9/24/2010,High Intensity,,,2,A,,A,60X75,Trunk,1109632317,1109632316,POINT (-113.998234346184 50.952687913742),4,3,162,8
Street Name,,N,Field Estimate,1/27/2020,High Intensity,,,1,A,"86 AVE SE (AL), 85 AVE SE (AR)",A,106XL,,1110188740,1110188715,POINT (-113.998961912805 50.977665002554),10,3,19,8
Pedestrian,,W,Field Estimate,7/13/2018,High Intensity,SG_40-05,,2,A,,R,60X75,Signpole,1109589009,1109589008,POINT (-114.050794727413 51.047043104148),7,3,65,7
Guide / Information,,S,,7/1/2007,High Intensity,SG_40-05,,2,A,,A,120X120,Signpole,1109132606,1109056337,POINT (-114.07031230934 50.948176928319),6,3,267,13
Timed Parking,,SE,Field Estimate,1/16/2019,High Intensity,SG_40-06,,6,A,"4HR, 0900-1800, SAT, DA",A,SPECIAL,Signpole,1110201970,1109068458,POINT (-114.054597407774 51.043149031148),14,3,260,5
Parking Restrictions,,N,,12/31/2019,,SG_40-06,,1,A,,A,,Signpole,1109189246,1109077472,POINT (-113.943623859467 51.105058242416),9,4,56,1
Timed Parking,,NE,Field Estimate,1/16/2019,High Intensity,SG_40-12,,4,A,"3HR, 0900-1800, SAT, AL",A,SPECIAL,Signpole,1110202039,1109286992,POINT (-114.053588296099 51.041538585755),14,3,260,5
Pedestrian,,W,GPS,6/6/2017,High Intensity,SG_40-05,,0,R,,R,60X75,Signpole,1110079552,1109536932,POINT (-114.150052890764 51.012549414694),1,1,142,14
Parking Restrictions,,NW,Field Estimate,7/14/2009,High Intensity,SG_40-99,,5,A,NPAT AL,A,30X30,Signpole,1109536799,1109064485,POINT (-114.054330276081 51.042997232679),14,3,260,5
Timed Parking,,SW,Field Estimate,,,SG_40-05,,4,A,"2HR, 0900-1800, M-F, PAY REQD, AL",R,SPECIAL,Signpole,1110202055,1110069905,POINT (-114.054856809455 51.041209585902),14,3,260,5
Parking Restrictions,,E,Field Estimate,7/1/2005,High Intensity,SG_40-05,,4,A,,A,30X30,Signpole,1109116613,1109037814,POINT (-114.055503716401 51.042220227826),14,3,260,5
Parking Restrictions,,NE,Field Estimate,1/28/2020,High Intensity,SG_40-06,,1,A,NSAT AL,A,30X30,Signpole,1110251559,1110251558,POINT (-113.97151351157 50.870381751189),4,3,294,8
Park Plus,,SW,Field Estimate,1/17/2019,High Intensity,SG_40-05,,4,A,"4HR, 0900-1800, M-F, PAY REQD, AL",A,SPECIAL,Signpole,1110223114,1110003727,POINT (-114.055793685574 51.041751852058),14,3,260,5
Park Plus,,NW,Field Estimate,7/14/2009,Engineer Grade,SG_40-05,,4,A,"14"" ZONE 3194 AL (BLUE)",A,SPECIAL,Signpole,1109536805,1109536802,POINT (-114.054131679065 51.042991528245),14,3,260,5
Park Plus,,NE,Field Estimate,1/16/2019,High Intensity,SG_40-05,,4,A,"4HR, 0900-1800, SAT, AR",A,SPECIAL,Signpole,1110223129,1110014130,POINT (-114.055113007297 51.042076844805),14,3,260,5
Warning,,S,,1/28/2020,High Intensity,SG_40-05,,2,A,,A,45X90,Signpole,1110263194,1109074589,POINT (-114.07039656496 50.946572747642),6,3,267,13
Warning,,SE,Field Estimate,3/19/2019,High Intensity,SG_40-08,,2,A,,A,45X90,Signpole,1110193086,1110193085,POINT (-114.085709819122 50.924600630422),5,1,32,6
Park Plus,,SE,,1/16/2019,High Intensity,SG_40-05,,4,A,"4HR, 0900-1800, M-F, PAY REQD, AL",A,SPECIAL,Signpole,1110223136,1109075270,POINT (-114.054691714515 51.04220569844),14,3,260,5
Warning,,E,Field Estimate,8/21/2007,High Intensity,SG_40-06,,6,A,,A,60X30,Signpole,1109225306,1109068458,POINT (-114.054597407774 51.043149031148),14,3,260,5
Parking Restrictions,,NW,Field Estimate,7/14/2009,High Intensity,SG_40-05,,4,A,"2HR 0900-1800, M-SAT, PAY REQD, AL",R,SPECIAL,Signpole,1109536803,1109536802,POINT (-114.054131679065 51.042991528245),14,3,260,5
Park Plus,,SW,Field Estimate,6/15/2016,High Intensity,SG_40-05,,4,A,"3HR, 0900-1800, M-SAT, PAY REQD, AL",R,30X45,Signpole,1110003734,1110003727,POINT (-114.055793685574 51.041751852058),14,3,260,5
Park Plus,,NE/SW,Field Estimate,7/21/2016,Engineer Grade,SG_40-05,,4,A,ZONE 3464 AL GRASS GREEN,A,35X20,Signpole,1110014136,1110014134,POINT (-114.055532682212 51.042082859862),14,3,260,5
Warning,,W,Field Estimate,6/2/2015,High Intensity,SG_40-99,,2,A,SHARE THE ROAD,R,60X30,Signpole,1109956351,1109046527,POINT (-114.055583840202 51.043034570939),14,3,260,5
Parking Restrictions,,NW,,12/31/2019,,SG_40-06,,1,A,,A,,Signpole,1109189427,1109077474,POINT (-113.942520091582 51.105400131247),9,4,56,1
Park Plus,,SW,Field Estimate,1/17/2019,High Intensity,SG_40-05,,4,A,"4HR, 0900-1800, SAT, AR",A,SPECIAL,Signpole,1110225580,1110005342,POINT (-114.055727884593 51.041232817723),14,3,260,5
Warning,,NW,Field Estimate,7/1/2005,High Intensity,SG_40-99,,5,A,,A,60X60,Signpole,1109114382,1109064485,POINT (-114.054330276081 51.042997232679),14,3,260,5
Parking Restrictions,,NE,Field Estimate,7/3/2009,High Intensity,SG_40-12,,4,A,"3 HR, 0900-1800, M-SAT, PAY REQD, AL",R,,Signpole,1109526405,1109286986,POINT (-114.053560201853 51.041868885223),14,3,260,5
Pedestrian,,E,Field Estimate,8/2/2017,High Intensity,SG_40-05,,2,A,,R,60X75,Signpole,1109588979,1109588978,POINT (-114.050415908751 51.047132018374),7,3,65,7
Parking Restrictions,,NE,Field Estimate,7/3/2009,High Intensity,SG_40-05,,4,A,"3 HR, 0900-1800, M-SAT, PAY REQD, AL",R,,Signpole,1109526379,1109526373,POINT (-114.05423120852 51.042027593481),14,3,260,5
Parking Restrictions,,NW,Field Estimate,7/14/2009,High Intensity,SG_40-05,,4,A,NPAT AR,A,30X30,Signpole,1109536804,1109536802,POINT (-114.054131679065 51.042991528245),14,3,260,5
Pedestrian,,N,Field Estimate,3/19/2019,High Intensity,SG_40-06,,1,A,,A,60X75,Signpole,1110193052,1110193050,POINT (-114.085852927154 50.924219749088),5,1,32,6
