geometry,Grid Names,West Boundary,East Boundary,North Boundary,South Boundary,Speed_Limit,Traffic_Volume,Traffic_Cameras,Traffic_Signals,Traffic_Signs,Accidents
"POLYGON ((-114.315796 51.212425, -114.315796 51.17546470000001, -114.2702069 51.17546470000001, -114.2702069 51.212425, -114.315796 51.212425))",grid00,-114.315796,-114.2702069,51.212425,51.175464700000006,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-114.315796 51.17546470000001, -114.315796 51.1385044, -114.2702069 51.1385044, -114.2702069 51.17546470000001, -114.315796 51.17546470000001))",grid01,-114.315796,-114.2702069,51.175464700000006,51.1385044,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-114.315796 51.1385044, -114.315796 51.1015441, -114.2702069 51.1015441, -114.2702069 51.1385044, -114.315796 51.1385044))",grid02,-114.315796,-114.2702069,51.1385044,51.1015441,0.0,0.0,0.0,0.0,26.0,0.0
"POLYGON ((-114.315796 51.1015441, -114.315796 51.0645838, -114.2702069 51.0645838, -114.2702069 51.1015441, -114.315796 51.1015441))",grid03,-114.315796,-114.2702069,51.1015441,51.0645838,109.0,44000.0,0.0,0.0,116.0,5.0
"POLYGON ((-114.315796 51.0645838, -114.315796 51.0276235, -114.2702069 51.0276235, -114.2702069 51.0645838, -114.315796 51.0645838))",grid04,-114.315796,-114.2702069,51.0645838,51.027623500000004,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-114.315796 51.0276235, -114.315796 50.9906632, -114.2702069 50.9906632, -114.2702069 51.0276235, -114.315796 51.0276235))",grid05,-114.315796,-114.2702069,51.027623500000004,50.9906632,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-114.315796 50.9906632, -114.315796 50.9537029, -114.2702069 50.9537029, -114.2702069 50.9906632, -114.315796 50.9906632))",grid06,-114.315796,-114.2702069,50.9906632,50.953702899999996,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-114.315796 50.9537029, -114.315796 50.9167426, -114.2702069 50.9167426, -114.2702069 50.9537029, -114.315796 50.9537029))",grid07,-114.315796,-114.2702069,50.953702899999996,50.9167426,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-114.315796 50.9167426, -114.315796 50.8797823, -114.2702069 50.8797823, -114.2702069 50.9167426, -114.315796 50.9167426))",grid08,-114.315796,-114.2702069,50.9167426,50.8797823,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-114.315796 50.8797823, -114.315796 50.842822, -114.2702069 50.842822, -114.2702069 50.8797823, -114.315796 50.8797823))",grid09,-114.315796,-114.2702069,50.8797823,50.842822,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-114.2702069 51.212425, -114.2702069 51.17546470000001, -114.2246178 51.17546470000001, -114.2246178 51.212425, -114.2702069 51.212425))",grid10,-114.2702069,-114.2246178,51.212425,51.175464700000006,75.0,3426.0,0.0,0.0,18.0,0.0
"POLYGON ((-114.2702069 51.17546470000001, -114.2702069 51.1385044, -114.2246178 51.1385044, -114.2246178 51.17546470000001, -114.2702069 51.17546470000001))",grid11,-114.2702069,-114.2246178,51.175464700000006,51.1385044,66.0,11519.0,0.0,7.0,1480.0,10.0
"POLYGON ((-114.2702069 51.1385044, -114.2702069 51.1015441, -114.2246178 51.1015441, -114.2246178 51.1385044, -114.2702069 51.1385044))",grid12,-114.2702069,-114.2246178,51.1385044,51.1015441,66.0,22367.0,0.0,10.0,2206.0,26.0
